"","name.x","identifier","unique_name","key_bigbash","key_cricbuzz","key_crichq","key_cricinfo","key_cricinfo_2","key_cricingif","key_cricketarchive","key_cricketarchive_2","key_opta","key_opta_2","key_pulse","key_pulse_2","name.y","country","Full Name","Born","Age","Batting Style","Bowling Style","Playing Role","Fielding Position"
"333","S Glenn","b34e0c77","S Glenn",11335,NA,NA,885837,NA,NA,991041,NA,NA,NA,4467,NA,"Sarah Glenn","England","Sarah Glenn","August 27, 1999, Derby","22y 86d","Right hand bat","Legbreak","Bowling allrounder",NA
"334","N de Klerk","ea544967","N de Klerk",11224,NA,NA,939249,NA,NA,2155447,NA,NA,NA,4335,NA,"Nadine de Klerk","South Africa","Nadine de Klerk","January 16, 2000","21y 309d","Right hand bat","Right arm medium","Allrounder",NA
"335","S Day","c3d27d76","S Day",13455,NA,NA,1184973,NA,NA,2285347,NA,NA,NA,NA,NA,"Sophie Day","England","Sophie Day","September 02, 1998","23y 80d","Left hand bat","Slow left arm orthodox","Allrounder",NA
"336","RA Mair","d5eb8b84","RA Mair",12426,NA,NA,701751,NA,NA,1580605,NA,NA,NA,5567,NA,"Rosemary Mair","New Zealand","Rosemary Alison Mair","November 07, 1998, Napier","23y 14d","Right hand bat","Right arm medium","Bowler",NA
"337","E Hayward","eacd9bb1","E Hayward",10944,NA,NA,1236786,NA,NA,2412239,NA,NA,NA,NA,NA,"Ella Hayward","Australia","Ella Hayward","September 08, 2003","18y 74d","Right hand bat","Right arm offbreak","Bowler",NA
"338","E Hughes","99bc6f9a","E Hughes",11544,NA,NA,1203797,NA,NA,2124536,NA,NA,NA,NA,NA,"Emma Hughes","Australia","Emma Hughes","November 13, 2000","21y 8d","Right hand bat","Right arm medium","Bowler",NA
"339","CR Knott","d7ff1adc","CR Knott",10900,NA,NA,1164537,NA,NA,1806576,NA,NA,NA,NA,NA,"Charli Knott","Australia","Charli Rae Knott","November 29, 2002, Hervey Bay, Queensland","18y 357d","Right hand bat","Right arm offbreak","Batting allrounder",NA
"340","RP Yadav","6c3aef71","RP Yadav",NA,NA,NA,960737,NA,NA,1776757,NA,NA,NA,5059,NA,"Radha Yadav","India","Radha Prakash Yadav","April 21, 2000, Mumbai, Maharashtra","21y 214d","Right hand bat","Slow left arm orthodox","Bowler",NA
"341","R McKenna","f7e41cd8","R McKenna",NA,NA,NA,1282067,NA,NA,NA,NA,NA,NA,NA,NA,"Rhys McKenna","Australia","Rhys McKenna",NA,NA,"Right hand bat","Right arm fast medium","Bowler",NA
"342","A Lanning","ba0a8d88","A Lanning",8098,NA,NA,381288,NA,NA,913879,NA,NA,NA,NA,NA,"Anna Lanning","Australia","Anna Lanning","March 25, 1994, Sydney, New South Wales","27y 241d","Right hand bat","Right arm offbreak","Middle order batter",NA
"343","E Falconer","be50addf","E Falconer",NA,NA,NA,1128749,NA,NA,NA,NA,NA,NA,NA,NA,"Ellie Falconer","Australia","Ellie Falconer","September 03, 1999","22y 79d","Right hand bat","Right arm medium","Bowler",NA
"344","IECM Wong","e5b17517","IECM Wong",NA,NA,NA,1146066,NA,NA,NA,NA,NA,NA,NA,NA,"Issy Wong","England","Isabelle Eleanor Chih Ming Wong","May 15, 2002, Chelsea, Middlesex","19y 190d","Right hand bat","Right arm fast medium","Bowler",NA
"345","DB Sharma","201fef33","DB Sharma",NA,NA,NA,597811,NA,NA,1086219,NA,NA,NA,3192,NA,"Deepti Sharma","India","Deepti Bhagwan Sharma","August 24, 1997, Agra, Uttar Pradesh","24y 89d","Left hand bat","Right arm offbreak","Allrounder",NA
"346","Poonam Yadav","d0bb40b8","Poonam Yadav",NA,NA,NA,630972,NA,NA,305336,NA,NA,NA,1814,NA,"Poonam Yadav","India","Poonam Yadav","August 24, 1991, Agra, Uttar Pradesh","30y 89d","Right hand bat","Legbreak googly","Bowler",NA
"347","L Mills","c35a0b8a","L Mills",NA,NA,NA,1203888,NA,NA,NA,NA,NA,NA,NA,NA,"Lilly Mills","Australia","Lilly Mills","January 02, 2001","20y 323d","Right hand bat","Right arm medium","Bowler",NA
"348","R Johnston","3cd107a7","R Johnston",NA,NA,NA,1282061,NA,NA,NA,NA,NA,NA,NA,NA,"Ruth Johnston","Australia","Ruth Johnston","February 28, 2003","18y 266d","Right hand bat","Right arm offbreak","Allrounder",NA
"349","LCN Smith","340202b0","LCN Smith",NA,NA,NA,517577,NA,NA,NA,NA,NA,NA,3702,NA,"Linsey Smith","England","Linsey Claire Neale Smith","March 10, 1995, Hillingdon, Middlesex","26y 256d","Left hand bat","Slow left arm orthodox","Bowler",NA
"350","A Bosch","dcf0e8f4","A Bosch",NA,NA,NA,482506,NA,NA,NA,NA,NA,NA,17103,NA,"Anneke Bosch","South Africa","Anneke Elizabeth Bosch","August 17, 1993, East London","28y 96d","Right hand bat","Right arm medium","Batting allrounder",NA
"351","E Jones","971cb321","E Jones",NA,NA,NA,858807,NA,NA,NA,NA,NA,NA,NA,NA,"Eve Jones","England","Evelyn Jones","August 08, 1992, Shrewsbury, Shropshire","29y 105d","Left hand bat","Left arm medium","Allrounder",NA
"352","E Jones","4cf60e73","Emma Jones",NA,NA,NA,1100812,NA,NA,NA,NA,NA,NA,NA,NA,"Emma Jones","England","Emma Jones",NA,NA,NA,NA,NA,NA
"353","A Learoyd","1757bedf","A Learoyd",12362,NA,NA,1231570,NA,NA,2407371,NA,NA,NA,NA,NA,"Anika Learoyd","Australia","Anika Learoyd","April 14, 2002","19y 221d","Right hand bat","Legbreak","Middle order batter",NA
"354","K Peterson","5f377534","K Peterson",13035,NA,NA,1203798,NA,NA,2410807,NA,NA,NA,NA,NA,"Kate Peterson","Australia","Kate Peterson",NA,NA,"Right hand bat","Right arm fast medium","Bowler",NA
"355","JI Rodrigues","cb08b611","JI Rodrigues",NA,NA,NA,883405,NA,NA,1558057,NA,NA,NA,5051,NA,"Jemimah Rodrigues","India","Jemimah Ivan Rodrigues","September 05, 2000, Mumbai, Maharashtra","21y 77d","Right hand bat","Right arm offbreak","Middle order batter",NA
"356","LA Marsh","9706e64b","LA Marsh",NA,NA,NA,249934,NA,NA,NA,NA,NA,NA,553,NA,"Laura Marsh","England","Laura Alexandra Marsh","December 05, 1986, Pembury, Kent","34y 351d","Right hand bat","Right arm fast medium, Right arm offbreak","Opening batter",NA
"357","C Hill","6cedc2a1","C Hill",NA,NA,NA,382337,NA,NA,NA,NA,NA,NA,NA,NA,"Courtney Hill","Australia","Courtney Hill","January 09, 1987","34y 316d",NA,NA,NA,NA
"358","NJ Shaw","7e9ff716","NJ Shaw",NA,NA,NA,53733,NA,NA,NA,NA,NA,NA,NA,NA,"Nicky Shaw","England","Nicola Jayne Shaw","December 30, 1981, Nuneaton, Warwickshire","39y 326d","Right hand bat","Right arm fast medium",NA,NA
"359","H Perry","4d4ffcf5","H Perry",NA,NA,NA,680275,NA,NA,NA,NA,NA,NA,NA,NA,"Hannah Perry","Australia","Hannah Perry","September 22, 1989","32y 60d","Right hand bat","Slow left arm orthodox",NA,NA
"360","BC Binch","e663d8d7","BC Binch",NA,NA,NA,380932,NA,NA,NA,NA,NA,NA,NA,NA,"Briana Binch","Australia","Briana Carly Binch","June 18, 1987, Carlton, Melbourne, Victoria","34y 156d","Right hand bat","Right arm medium","Bowler",NA
"361","K Lamb","ff18508b","K Lamb",NA,NA,NA,381293,NA,NA,NA,NA,NA,NA,NA,NA,"Kirsty Lamb","Australia","Kirsty Lamb","June 27, 1994","27y 147d","Right hand bat","Left arm medium",NA,NA
"362","KL Britt","b9e15440","KL Britt",NA,NA,NA,53675,NA,NA,NA,NA,NA,NA,NA,NA,"Kris Britt","Australia","Kris Lynsey Britt","April 13, 1983, Canberra, Australian Capital Territory","38y 222d","Right hand bat","Legbreak","Allrounder",NA
"363","CE Brock","cb41cde5","CE Brock",NA,NA,NA,374937,NA,NA,NA,NA,NA,NA,NA,NA,"Cassie Brock","Australia","Cassie E Brock","January 31, 1991","30y 294d","Right hand bat","Legbreak googly",NA,NA
