"","name.x","identifier","unique_name","key_bigbash","key_cricbuzz","key_crichq","key_cricinfo","key_cricinfo_2","key_cricingif","key_cricketarchive","key_cricketarchive_2","key_opta","key_opta_2","key_pulse","key_pulse_2","name.y","country","Full Name","Born","Age","Batting Style","Bowling Style","Playing Role","Fielding Position"
"158","AC Kerr","7673c908","AC Kerr",11091,NA,NA,803971,NA,NA,1753217,NA,NA,NA,3756,NA,"Amelia Kerr","New Zealand","Amelia Charlotte Kerr","October 13, 2000, Wellington","21y 39d","Right hand bat","Legbreak","Allrounder",NA
"159","M Penna","36453b99","M Penna",11561,NA,NA,1201476,NA,NA,1806555,NA,NA,NA,NA,NA,"Madeline Penna","Australia","Madeline Penna","August 30, 2000","21y 83d","Right hand bat","Legbreak","Bowler",NA
"160","TJ Vlaeminck","ef70a34b","TJ Vlaeminck",NA,NA,NA,1071711,NA,NA,1578953,NA,NA,NA,4124,NA,"Tayla Vlaeminck","Australia","Tayla Jade Vlaeminck","October 27, 1998, Bendigo, Victoria","23y 25d","Right hand bat","Right arm medium","Bowler",NA
"161","HJ Armitage","f05167d2","HJ Armitage",NA,NA,NA,715351,NA,NA,NA,NA,NA,NA,NA,NA,"Hollie Armitage","England","Hollie Jade Armitage","June 14, 1997, Huddersfield, Yorkshire","24y 160d","Right hand bat","Legbreak","Allrounder",NA
"162","S Horley","8cd72e0b","S Horley",NA,NA,NA,1142972,NA,NA,NA,NA,NA,NA,NA,NA,"Saskia Horley","Australia","Saskia Horley","February 23, 2000","21y 272d","Right hand bat","Slow left arm orthodox","Allrounder",NA
"163","A Smith","b125ce63","A Smith",12428,NA,NA,1173526,NA,NA,2266853,NA,NA,NA,NA,NA,"Amy Smith","Australia","Amy Smith","November 16, 2004","17y 5d","Right hand bat","Legbreak","Bowler",NA
"164","A O'Neil","4f2cf3ed","A O'Neil",11320,NA,NA,1128748,1173523,NA,1232618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","S Glenn","b34e0c77","S Glenn",11335,NA,NA,885837,NA,NA,991041,NA,NA,NA,4467,NA,"Sarah Glenn","England","Sarah Glenn","August 27, 1999, Derby","22y 86d","Right hand bat","Legbreak","Bowling allrounder",NA
"166","RA Mair","d5eb8b84","RA Mair",12426,NA,NA,701751,NA,NA,1580605,NA,NA,NA,5567,NA,"Rosemary Mair","New Zealand","Rosemary Alison Mair","November 07, 1998, Napier","23y 14d","Right hand bat","Right arm medium","Bowler",NA
"167","LR Down","19147fe0","LR Down",11875,NA,NA,543466,NA,NA,1060662,NA,NA,NA,5007,NA,"Lauren Down","New Zealand","Lauren Renee Down","May 07, 1995, Auckland","26y 198d","Right hand bat","Right arm medium","Batter",NA
